College grounds,Diameter breast height (cm),Colour (B/RB/G),Height (cm),Bird bites,Rodent bites,Insect bites,Snail marks,All Bites,"missing, fallen"
Trinity Hall,,G,30,0,0,0,0,0,missing
Trinity Hall,,G,45,2,0,1,4,7,
Trinity Hall,,G,60,1,0,3,5,9,
Trinity Hall,,RB,30,0,0,1,6,7,
Trinity Hall,,RB,45,1,0,0,3,4,
Trinity Hall,,RB,60,0,0,0,0,0,
Girton,40,B,30,0,0,0,0,0,missing
Girton,40,B,45,1,0,3,0,4,
Girton,40,B,60,0,1,0,7,8,fallen
Girton,40,G,30,0,1,5,0,6,
Girton,40,G,45,1,2,0,0,3,
Girton,40,G,60,0,0,0,0,0,missing
Girton,40,RB,30,1,1,0,5,7,
Girton,40,RB,45,0,0,0,4,4,
Girton,40,RB,60,0,0,0,0,0,fallen
,,,,,,,,,
Wolfson,37,B,30,0,0,3,0,3,fallen
Wolfson,37,B,45,0,0,4,0,4,fallen
Wolfson,37,B,60,0,0,0,0,0,missing
Wolfson,37,RB,30,0,0,0,0,0,missing
Wolfson,37,RB,45,0,0,0,0,0,missing
Wolfson,37,RB,60,0,0,0,0,0,missing
Wolfson,37,G,30,0,0,0,0,0,missing
Wolfson,37,G,45,0,0,0,0,0,missing
Wolfson,37,G,60,0,0,0,0,0,missing
,,,,,,,,,
Homerton,34,B,30,0,0,0,0,0,missing
Homerton,34,B,45,0,0,0,0,0,missing
Homerton,34,B,60,0,0,0,0,0,missing
Homerton,34,G,30,0,0,0,0,0,missing
Homerton,34,G,45,0,0,5,2,7,
Homerton,34,G,60,0,0,0,0,0,missing
Homerton,34,RB,30,0,0,18,3,21,fallen
Homerton,34,RB,45,0,0,0,0,0,missing
Homerton,34,RB,60,0,0,2,1,3,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
St Catharine's,40,B,150,0,0,4,0,4,
St Catharine's,40,B,180,0,0,3,0,3,
St Catharine's,40,B,210,0,0,6,0,6,
St Catharine's,40,G,150,0,0,3,0,3,
St Catharine's,40,G,180,0,0,0,0,0,fallen
St Catharine's,40,G,210,0,0,1,0,1,
St Catharine's,40,RB,150,0,0,2,0,0,
St Catharine's,40,RB,180,0,0,1,0,1,
St Catharine's,40,RB,210,0,0,0,0,0,
,,,,,,,,,
Selwyn,60,B,25,0,0,6,0,6,
Selwyn,60,B,25,0,0,5,0,5,
Selwyn,60,B,25,0,2,3,0,5,
Selwyn,60,G,25,0,0,3,0,3,
Selwyn,60,G,25,0,0,2,0,2,
Selwyn,60,G,25,0,0,6,0,6,
Selwyn,60,RB,25,0,0,6,0,6,
Selwyn,60,RB,25,0,0,4,0,4,
Selwyn,60,RB,25,0,0,3,0,3,
,,,,,,,,,
,,,,,,,,,
Kings,80,G,60,0,1,4,0,5,
Kings,80,B,60,2,6,5,0,13,
Kings,80,RB,60,0,2,3,0,5,
Kings,80,G,45,2,2,5,0,9,
Kings,80,B,45,4,8,6,0,18,
Kings,80,RB,45,0,0,3,0,3,
Kings,80,G,30,0,3,5,0,8,
Kings,80,B,30,0,0,5,0,5,
Kings,80,RB,30,0,0,4,0,4,
,,,,,,,,,
,,,,,,,,,
Fitzwilliam,60cm,B,60,0,0,0,0,0,
Fitzwilliam,60cm,RB,60,0,0,0,0,0,
Fitzwilliam,60cm,G,60,0,0,0,4,4,
Fitzwilliam,60cm,B,45,0,0,3,0,3,
Fitzwilliam,60cm,RB,45,0,0,0,2,2,fallen
Fitzwilliam,60cm,G,45,0,0,0,10,10,
Fitzwilliam,60cm,B,30,0,0,0,0,0,missing
Fitzwilliam,60cm,RB,30,0,0,0,5,5,fallen
Fitzwilliam,60cm,G,30,0,0,0,0,0,missing
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Christ's,37,RB,60,0,0,0,0,0,
Christ's,37,RB,65,0,0,0,0,0,
Christ's,37,RB,60,0,0,0,0,0,missing
Christ's,37,G,65,1,0,0,0,1,
Christ's,37,G,60,0,0,1,0,1,
