"t","f.d","p.d","f.l","p.l","f.l.h","p.l.h"
0,,,,,,
20,,,,,,
40,,,,,,
60,,,,,,
80,,,,,,
100,,,,,,
120,,,,,,
140,,,,,,
160,,,,,,
180,,,,,,
