length,sex
17.9,female
10.6,female
12.2,female
20.4,female
15.5,female
19.1,female
16.5,female
29.3,female
17.3,female
17.8,female
20.9,female
12.4,female
19.6,female
29.4,male
8,male
14,male
39.5,male
11.9,male
31.1,male
90.8,male
20.9,male
13.8,male
64.4,male
55.5,male
14.9,male
16.2,male
42.4,male
13.6,male
15.4,male
30.6,male
